SalesOrderID,SalesOrderDetailID,OrderQty,UnitPriceWithDiscount,UnitPrice,UnitPriceDiscount,LineTotal,ProductID,productName,StandardCost,ListPrice,productCategoryName,CompanyName,ShipMethod,DueDate,shipToAddressCity,sucursal
999990.00,999990.00,12.00,356.90,356.90,0.00,0.00,836.00,"ML Road Frame-W - Yellow, 48",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
999991.00,999991.00,7.00,356.90,356.90,0.00,0.00,822.00,"ML Road Frame-W - Yellow, 38",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
999992.00,999992.00,8.00,63.90,63.90,0.00,0.00,907.00,Rear Brakes,47.29,106.50,NULL,NULL,NULL,01/07/2021 00:00,Wokingham,Sucursal 2
999993.00,999993.00,19.00,240.90,240.90,0.00,0.00,837.00,"ML Road Frame-W - Yellow, 58",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
999994.00,999994.00,15.00,344.90,344.90,0.00,0.00,838.00,"ML Road Frame-W - Yellow, 68",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
999995.00,999995.00,12.00,101.90,101.90,0.00,0.00,839.00,"ML Road Frame-W - Yellow, 78",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
999996.00,999996.00,20.00,190.90,190.90,0.00,0.00,823.00,"ML Road Frame-W - Yellow, 38",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
999997.00,999997.00,4.00,221.90,221.90,0.00,0.00,824.00,"ML Road Frame-W - Yellow, 88",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
999998.00,999998.00,5.00,90.90,90.90,0.00,0.00,825.00,"ML Road Frame-W - Yellow, 98",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
999999.00,999999.00,7.00,261.90,261.90,0.00,0.00,826.00,"ML Road Frame-W - Yellow, 18",360.94,594.83,NULL,NULL,NULL,01/07/2021 00:00,Auburn,Sucursal 2
